Date,Date_YMD,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
10 October 2021,2021-9-10,0,8136168,0,7430911,0,121682
11 October 2021,2021-9-11,0,8136168,0,7430911,0,121682
12 October 2021,2021-9-12,0,8136168,0,7430911,0,121682
13 October 2021,2021-9-13,0,8136168,0,7430911,0,121682
14 October 2021,2021-9-14,0,8136168,0,7430911,0,121682
15 October 2021,2021-9-15,0,8136168,0,7430911,0,121682
16 October 2021,2021-9-16,0,8136168,0,7430911,0,121682
17 October 2021,2021-9-17,0,8136168,0,7430911,0,121682
18 October 2021,2021-9-18,0,8136168,0,7430911,0,121682
19 October 2021,2021-9-19,0,8136168,0,7430911,0,121682
20 October 2021,2021-9-20,0,8136168,0,7430911,0,121682
21 October 2021,2021-9-21,0,8136168,0,7430911,0,121682
22 October 2021,2021-9-22,0,8136168,0,7430911,0,121682
23 October 2021,2021-9-23,0,8136168,0,7430911,0,121682
24 October 2021,2021-9-24,0,8136168,0,7430911,0,121682
25 October 2021,2021-9-25,0,8136168,0,7430911,0,121682
26 October 2021,2021-9-26,0,8136168,0,7430911,0,121682
27 October 2021,2021-9-27,0,8136168,0,7430911,0,121682
28 October 2021,2021-9-28,0,8136168,0,7430911,0,121682
29 October 2021,2021-9-29,0,8136168,0,7430911,0,121682
30 October 2021,2021-9-30,0,8136168,0,7430911,0,121682
31 October 2021,2021-9-31,0,8136168,0,7430911,0,121682
1 November 2021,2021-10-01,0,8136168,0,7430911,0,121682
2 November 2021,2021-10-02,0,8136168,0,7430911,0,121682
3 November 2021,2021-10-03,0,8136168,0,7430911,0,121682
4 November 2021,2021-10-04,0,8136168,0,7430911,0,121682
